,,,,IN = stayed in; OUT = Eliminated; STAR BAKER = Star Baker; WINNER = Series Winner; Runner-up = Series Runner up; WD = withdrew
,,,,
series,episode,baker,technical,result
1,1,Annetha,2,IN
1,1,David,3,IN
1,1,Edd,1,IN
1,1,Jasminder,NA,IN
1,1,Jonathan,9,IN
1,1,Louise,NA,IN
1,1,Miranda,8,IN
1,1,Ruth,NA,IN
1,1,Lea,10,OUT
1,1,Mark,NA,OUT
1,2,David,8,IN
1,2,Edd,6,IN
1,2,Jasminder,2,IN
1,2,Jonathan,1,IN
1,2,Miranda,3,IN
1,2,Ruth,5,IN
1,2,Annetha,7,OUT
1,2,Louise,4,OUT
1,2,Lea,NA,NA
1,2,Mark,NA,NA
1,3,David,4,IN
1,3,Edd,1,IN
1,3,Jasminder,5,IN
1,3,Miranda,3,IN
1,3,Ruth,2,IN
1,3,Jonathan,6,OUT
1,3,Annetha,NA,NA
1,3,Lea,NA,NA
1,3,Louise,NA,NA
1,3,Mark,NA,NA
1,4,Edd,3,IN
1,4,Jasminder,2,IN
1,4,Miranda,1,IN
1,4,Ruth,4,IN
1,4,David,5,OUT
1,4,Annetha,NA,NA
1,4,Jonathan,NA,NA
1,4,Lea,NA,NA
1,4,Louise,NA,NA
1,4,Mark,NA,NA
1,5,Edd,2,IN
1,5,Miranda,1,IN
1,5,Ruth,3,IN
1,5,Jasminder,4,OUT
1,5,Annetha,NA,NA
1,5,David,NA,NA
1,5,Jonathan,NA,NA
1,5,Lea,NA,NA
1,5,Louise,NA,NA
1,5,Mark,NA,NA
1,6,Miranda,NA,Runner-up
1,6,Ruth,NA,Runner-up
1,6,Edd,NA,WINNER
1,6,Annetha,NA,NA
1,6,David,NA,NA
1,6,Jasminder,NA,NA
1,6,Jonathan,NA,NA
1,6,Lea,NA,NA
1,6,Louise,NA,NA
1,6,Mark,NA,NA
2,1,Ben,2,IN
2,1,Ian,10,IN
2,1,Janet,8,IN
2,1,Jason,6,IN
2,1,Joanne,11,IN
2,1,Mary-Anne,4,IN
2,1,Robert,3,IN
2,1,Simon,9,IN
2,1,Urvashi,7,IN
2,1,Yasmin,5,IN
2,1,Keith,12,OUT
2,1,Holly,1,STAR BAKER
2,2,Ben,1,IN
2,2,Holly,4,IN
2,2,Ian,2,IN
2,2,Janet,8,IN
2,2,Joanne,10,IN
2,2,Mary-Anne,9,IN
2,2,Robert,5,IN
2,2,Urvashi,7,IN
2,2,Yasmin,6,IN
2,2,Simon,11,OUT
2,2,Jason,3,STAR BAKER
2,2,Keith,NA,NA
2,3,Ben,3,IN
2,3,Holly,6,IN
2,3,Janet,8,IN
2,3,Jason,7,IN
2,3,Joanne,1,IN
2,3,Mary-Anne,5,IN
2,3,Robert,4,IN
2,3,Ian,10,OUT
2,3,Urvashi,9,OUT
2,3,Yasmin,2,STAR BAKER
2,3,Keith,NA,NA
2,3,Simon,NA,NA
2,4,Janet,4,IN
2,4,Joanne,8,IN
2,4,Mary-Anne,2,IN
2,4,Robert,7,IN
2,4,Yasmin,6,IN
2,4,Ben,5,OUT
2,4,Holly,3,STAR BAKER
2,4,Jason,1,STAR BAKER
2,4,Ian,NA,NA
2,4,Keith,NA,NA
2,4,Simon,NA,NA
2,4,Urvashi,NA,NA
2,5,Holly,4,IN
2,5,Joanne,6,IN
2,5,Mary-Anne,2,IN
2,5,Yasmin,5,IN
2,5,Jason,7,OUT
2,5,Robert,3,OUT
2,5,Janet,1,STAR BAKER
2,5,Ben,NA,NA
2,5,Ian,NA,NA
2,5,Keith,NA,NA
2,5,Simon,NA,NA
2,5,Urvashi,NA,NA
2,6,Holly,3,IN
2,6,Janet,5,IN
2,6,Mary-Anne,4,IN
2,6,Yasmin,2,OUT
2,6,Joanne,1,STAR BAKER
2,6,Ben,NA,NA
2,6,Ian,NA,NA
2,6,Jason,NA,NA
2,6,Keith,NA,NA
2,6,Robert,NA,NA
2,6,Simon,NA,NA
2,6,Urvashi,NA,NA
2,7,Holly,1,IN
2,7,Joanne,3,IN
2,7,Mary-Anne,2,IN
2,7,Janet,4,OUT
2,7,Ben,NA,NA
2,7,Ian,NA,NA
2,7,Jason,NA,NA
2,7,Keith,NA,NA
2,7,Robert,NA,NA
2,7,Simon,NA,NA
2,7,Urvashi,NA,NA
2,7,Yasmin,NA,NA
2,8,Holly,2,Runner-up
2,8,Mary-Anne,3,Runner-up
2,8,Joanne,1,WINNER
2,8,Ben,NA,NA
2,8,Ian,NA,NA
2,8,Janet,NA,NA
2,8,Jason,NA,NA
2,8,Keith,NA,NA
2,8,Robert,NA,NA
2,8,Simon,NA,NA
2,8,Urvashi,NA,NA
2,8,Yasmin,NA,NA
3,1,Brendan,10,IN
3,1,Cathryn,5,IN
3,1,Danny,7,IN
3,1,James,2,IN
3,1,John,11,IN
3,1,Manisha,6,IN
3,1,Peter,3,IN
3,1,Ryan,8,IN
3,1,Sarah-Jane,1,IN
3,1,Stuart,9,IN
3,1,Natasha,12,OUT
3,1,Victoria,4,STAR BAKER
3,2,Brendan,4,IN
3,2,Cathryn,8,IN
3,2,Danny,3,IN
3,2,James,2,IN
3,2,Manisha,6,IN
3,2,Ryan,5,IN
3,2,Sarah-Jane,10,IN
3,2,Stuart,9,IN
3,2,Victoria,7,IN
3,2,Peter,11,OUT
3,2,John,1,STAR BAKER
3,2,Natasha,NA,NA
3,3,Brendan,9,IN
3,3,Cathryn,3,IN
3,3,Danny,2,IN
3,3,John,6,IN
3,3,Manisha,10,IN
3,3,Ryan,5,IN
3,3,Sarah-Jane,8,IN
